id,source_url,decision,target_url,flag,needs_human_review,reason
"L1","https://vimeo.com/766524446","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video language, pedagogical role, and whether an en-US equivalent or subtitles exist cannot be verified safely."
"L2","https://vimeo.com/780668708","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video language, pedagogical role, and whether it is already target-appropriate cannot be verified safely."
"L3","https://learn.microsoft.com/en-us/powershell/","PRESERVE","https://learn.microsoft.com/en-us/powershell/","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn PowerShell documentation is already in en-US and is globally authoritative. No replacement is needed, although detailed HTML context was not provided."
"L4","https://vimeo.com/766524492","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video language, pedagogical role, and target-language suitability cannot be confirmed."
"L5","https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/windows-commands","PRESERVE","https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/windows-commands","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn documentation is already in en-US and authoritative for Windows commands. Preserve unless later HTML context shows a different learner need."
"L6","https://learn.microsoft.com/en-us/powershell/scripting/whats-new/differences-from-windows-powershell?view=powershell-7.6","PRESERVE","https://learn.microsoft.com/en-us/powershell/scripting/whats-new/differences-from-windows-powershell?view=powershell-7.6","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn documentation is already in en-US and version-scoped. Preserve the exact URL to avoid altering version-specific technical content."
"L7","https://code.visualstudio.com/","PRESERVE","https://code.visualstudio.com/","MISSING_PHASE1_CONTEXT","false","Official Visual Studio Code product site is already target-appropriate and globally authoritative. No replacement is needed."
"L8","https://vimeo.com/780370590","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video language and learner-facing purpose cannot be verified."
"L9","https://vimeo.com/766524533","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required before preserving or replacing."
"L10","https://learn.microsoft.com/en-us/powershell/scripting/developer/cmdlet/approved-verbs-for-windows-powershell-commands?view=powershell-5.1","PRESERVE","https://learn.microsoft.com/en-us/powershell/scripting/developer/cmdlet/approved-verbs-for-windows-powershell-commands?view=powershell-5.1","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn documentation is already in en-US and version-specific. Preserve exact technical reference."
"L11","https://vimeo.com/780370571","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Target-language suitability cannot be confirmed."
"L12","https://vimeo.com/766524623","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The correct localized video, subtitles, or replacement cannot be verified."
"L13","https://vimeo.com/780370542","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required to confirm whether this video is already en-US appropriate."
"L14","https://vimeo.com/780370522","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The pedagogical role and language cannot be verified."
"L15","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_aliases?view=powershell-5.1","PRESERVE","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_aliases?view=powershell-5.1","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn PowerShell documentation is already in en-US and version-specific. Preserve exact technical reference."
"L16","https://vimeo.com/766524698","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Video equivalence and language cannot be verified safely."
"L17","https://vimeo.com/780370498","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required before deciding preserve or replacement."
"L18","https://vimeo.com/766524767","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video's language, subtitles, and learning function are unknown."
"L19","https://vimeo.com/780370476","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Cannot verify target-language suitability."
"L20","https://vimeo.com/780370434","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required to confirm whether the video should be preserved."
"L21","https://vimeo.com/766524849","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The target-language equivalent cannot be identified without verification."
"L22","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.utility/get-date?view=powershell-5.1","PRESERVE","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.utility/get-date?view=powershell-5.1","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn documentation for Get-Date is already in en-US and version-specific. Preserve exact technical reference."
"L23","https://vimeo.com/766524894","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Language and learner-function equivalence cannot be confirmed."
"L24","https://www.iso.org/obp/ui/#iso:std:iso:5807:ed-1:v1:fr","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|SAME_SOURCE_LANGUAGE_SWITCH|REPLACEMENT_NOT_VERIFIED","true","The ISO 5807 link points to a French-language ISO OBP fragment. A same-source English version may exist, but no verification metadata or browsable confirmation was provided, so the target URL must not be invented."
"L25","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_switch?view=powershell-5.1","PRESERVE","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_switch?view=powershell-5.1","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn PowerShell documentation is already in en-US and version-specific. Preserve exact technical reference."
"L26","https://vimeo.com/766524937","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required to determine target-language suitability."
"L27","https://vimeo.com/780370373","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The video language and pedagogical purpose cannot be verified."
"L28","https://vimeo.com/780370342","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Preserve or replacement decision requires human confirmation."
"L29","https://vimeo.com/780370315","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. The resource intent and language are unknown."
"L30","https://vimeo.com/780370281","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Manual review is required before preserving or replacing."
"L31","https://vimeo.com/780370255","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Cannot verify whether it is the correct en-US learning video."
"L32","https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy","PRESERVE","https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy","MISSING_PHASE1_CONTEXT","false","Official Microsoft Learn documentation for Robocopy is already in en-US and globally authoritative. Preserve exact technical reference."
"L33","https://vimeo.com/780370227","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Video language and equivalence cannot be verified."
"L34","https://vimeo.com/780370195","MANUAL_REVIEW","","MISSING_PHASE1_CONTEXT|VIDEO_LANGUAGE_REVIEW","true","Vimeo video link has no surrounding HTML context or verification metadata. Human review is required to confirm target-language suitability."
